Name,Year,variation_percentage
Bitcoin,2013,421.66182371661824
Bitcoin,2014,-58.49196266528389
Bitcoin,2015,37.01459670516054
Bitcoin,2016,121.88983593271541
Bitcoin,2017,1318.0152154859388
Bitcoin,2018,-72.59540575527332
Bitcoin,2019,87.16174236116893
Bitcoin,2020,302.7919073737992
Bitcoin,2021,16.548704509150447
Chainlink,2017,254.50795521508547
Chainlink,2018,-60.55070883315159
Chainlink,2019,491.01536406145624
Chainlink,2020,523.8514336322373
Chainlink,2021,69.1331300641814
Cosmos,2019,-43.810297958530995
Cosmos,2020,48.23980640153416
Cosmos,2021,124.23405923048088
EOS,2017,223.4566990147965
EOS,2018,-70.97317713045051
EOS,2019,-3.1086915712408403
EOS,2020,0.030802402587393196
EOS,2021,47.31350079684298
Ethereum,2015,23.9214124518784
Ethereum,2016,740.6223628691985
Ethereum,2017,9159.391136235714
Ethereum,2018,-82.73864576174445
Ethereum,2019,-7.959485695862933
Ethereum,2020,464.0612528860415
Ethereum,2021,218.2889547674349
Litecoin,2013,455.3730696411871
Litecoin,2014,-88.95447565345272
Litecoin,2015,28.944053353093736
Litecoin,2016,23.263037902536343
Litecoin,2017,5044.427697490913
Litecoin,2018,-86.69702619273205
Litecoin,2019,29.269009596652886
Litecoin,2020,196.75660495457868
Litecoin,2021,10.104784667389687
NEM,2015,-33.33333333333333
NEM,2016,1750.0
NEM,2017,30311.764705882353
NEM,2018,-93.8448242750144
NEM,2019,-51.437216338880496
NEM,2020,527.3006134969326
NEM,2021,-39.90103463787674
Solana,2020,94.50308959835219
Solana,2021,1760.3278866511048
Stellar,2020,182.19780219780216
Stellar,2021,96.52567975830817
Tether,2015,-17.060628680434597
Tether,2016,0.0
Tether,2017,1.2299999999999978
Tether,2018,0.6353618584334253
Tether,2019,-1.8265737012668093
Tether,2020,0.08001600320062252
Tether,2021,-0.1796586485677265
XRP,2013,387.5
XRP,2014,-9.293680297397767
XRP,2015,-75.40983606557377
XRP,2016,6.666666666666665
XRP,2017,35846.875
XRP,2018,-85.24884985361774
XRP,2019,-47.121710526315795
XRP,2020,14.0633108458744
XRP,2021,180.28643639427128
